Sl. No,Name,Genre,Language,Price,Broadcaster,Image
1,& Flix,Movies,English,15,Zee Entertainment Enterprises Limited,"""Channellogo/logo/Flix.jpg"" "
2,& Flix HD,Movies,English,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/FlixHD.jpg"" "
3,& Picture,Movies,Hindi,10,Zee Entertainment Enterprises Limited,"""Channellogo/logo/Picture.jpg"" "
4,& Pictures HD,Movies,English/Hindi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/PicturesHD.jpg"" "
5,& Prive HD,Movies,English,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/PriveHD.jpg"" "
6,& TV,GEC,Hindi,12,Zee Entertainment Enterprises Limited,"""Channellogo/logo/TV.jpg"" "
7,& TV HD,GEC,Hindi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/TVHD.jpg"" "
8,24 Ghanta,News,Bangla,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/24Ghanta.jpg"" "
9,Aaj Tak,News,Hindi,0.75,TV Today Network Ltd.,"""Channellogo/logo/AajTak.jpg"" "
10,AAJ Tak HD,News,Hindi,1.5,TV Today Network Ltd.,"""Channellogo/logo/AAJTakHD.jpg"" "
11,Aaj Tak Tez,News,Hindi,0.25,TV Today Network Ltd.,"""Channellogo/logo/AajTakTez.jpg"" "
12,AATH,GEC,Bangla,4,Sony Pictures Networks India Private Limited,"""Channellogo/logo/AATH.jpg"" "
13,Adithya TV,Movies,Tamil,9,SUN TV Network Limited,"""Channellogo/logo/AdithyaTV.jpg"" "
14,Alankar,Movies,Odia,4,Odisha Television Limited,"""Channellogo/logo/Alankar.jpg"" "
15,Animal Planet,Infotainment,English/Hindi,2,Discovery Communications India,"""Channellogo/logo/AnimalPlanet.jpg"" "
16,Animal Planet HD World,Infotainment,English/Hindi,3,Discovery Communications India,"""Channellogo/logo/AnimalPlanetHDWorld.jpg"" "
17,Asianet,GEC,Malayalam,19,STAR India Private Limited,"""Channellogo/logo/Asianet.jpg"" "
18,Asianet HD,GEC,Malayalam,19,STAR India Private Limited,"""Channellogo/logo/AsianetHD.jpg"" "
19,Asianet Movies,Movies,Malayalam,15,STAR India Private Limited,"""Channellogo/logo/AsianetMovies.jpg"" "
20,Asianet Plus,GEC,Malayalam,5,STAR India Private Limited,"""Channellogo/logo/AsianetPlus.jpg"" "
21,AXN,GEC,English,5,Sony Pictures Networks India Private Limited,"""Channellogo/logo/AXN.jpg"" "
22,AXN HD,GEC,English,7,Sony Pictures Networks India Private Limited,"""Channellogo/logo/AXNHD.jpg"" "
